#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
292,WWE 2K18,"Oct 17, 2017",59.99,N/A (N/A/64%),"200,000 .. 500,000",00:00 (00:00),"Visual Concepts, Yuke's Co., LTD",2K
303,"Cook, Serve, Delicious! 2!!","Sep 13, 2017",12.99,N/A (N/A/62%),"200,000 .. 500,000",00:00 (00:00),Vertigo Gaming Inc.,Vertigo Gaming Inc.
374,Drift (Over) Drive,"Sep 24, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Retraissance,New Reality Games
446,CarX Drift Racing Online,"Nov 17, 2017",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),CarX Technologies,CarX Technologies
450,X-Plane 11,"Mar 30, 2017",59.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Laminar Research,Laminar Research
461,STRAFE: Millennium Edition,"May 9, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Pixel Titans,Devolver Digital
465,METRO CONFLICT: THE ORIGIN,"Dec 13, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"RED DUCK, INC.","RED DUCK, INC."
480,Mortifero Motus,"Jan 18, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NA,HCP Entertainment
505,The District,"Dec 10, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),DistrictTeam,DistrictTeam
517,Dark Elf,"Aug 3, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ONEONE1,Paradise Project
539,NosTale,"Sep 18, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Entwell Co., Ltd.",Gameforge 4D GmbH
594,InfiniPicross,"Mar 6, 2017",1.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ReverseImpact,ReverseImpact
609,PIGMENTUM,"Jan 23, 2017",0.49,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Irvin Vaush,NedoStudio
618,Under Zero,"Mar 2, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Dagestan Technology,Dagestan Technology
647,Mystery Mine,"May 18, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),LEVER Software,"LEVER Software, Enjoy Games"
655,Unexpected Day,"Feb 1, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Black Whale Studios,Blue Whale Games
840,Death Coming,"Nov 6, 2017",6.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NEXT Studios,NEXT Studios
847,FEMINAZI: The Triggering,"Feb 20, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"hyperboreanGames, Svarog Studios",Back To Basics Gaming
851,MINDNIGHT,"Aug 4, 2017",Free,N/A (N/A),"200,000 .. 500,000",04:50 (01:36),No Moon,No Moon
853,Shardbound,"Apr 6, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Spiritwalk Games,Spiritwalk Games
863,侠客风云传前传(Tale of Wuxia:The Pre-Sequel),"Aug 14, 2017",16.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Heluo Studio,FHYX（凤凰游戏）
915,Heaven Forest NIGHTS,"Mar 14, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Fabio Ferrara,Chubby Pixel
955,Unalive,"Jan 5, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),RandomSpin,RandomSpin
975,Trolley Gold,"Mar 17, 2017",1.99,N/A (N/A),"200,000 .. 500,000",00:31 (00:10),Mantis Games,Displacement Studios
1386,Avorion,"Jan 23, 2017",17.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Boxelware,Boxelware
1399,McOsu,"Mar 20, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),McKay,McKay
1401,Holyday City: Reloaded,"Dec 14, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Holyday Studios,Holyday Studios
1411,Warspear Online,"Nov 2, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),AIGRIND,AIGRIND
1426,War Robots VR: The Skirmish,"Aug 10, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Pixonic,Pixonic
1470,Snowman,"Jan 27, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:31 (00:10),NA,ANIM•ACE
1502,Archery Practice VR,"Feb 8, 2017",9.99,N/A (N/A),"200,000 .. 500,000",04:33 (01:31),Virtual Rage Studios LLC,Virtual Rage Studios LLC
1526,Machine Made: Rebirth,"Oct 10, 2017",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Proteus Studios,Sometimes You
1534,Secret in Story,"Jun 19, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Luo Zhi En,Luo Zhi En
1647,Witch It,"May 31, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Barrel Roll Games,Daedalic Entertainment
1654,Otaku's Fantasy,"Oct 11, 2017",1.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Dieselmine,Paradise Project
1658,Rock of Ages 2: Bigger & Boulder,"Aug 28, 2017",14.99,N/A (N/A),"200,000 .. 500,000",03:10 (01:03),ACE Team,SEGA
1664,Einar,"Jul 20, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),DreamPunks,DreamPunks
1667,Zombidle : REMONSTERED,"May 30, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Berzerk Studio,Berzerk Studio
1679,Brawl of Ages,"Sep 12, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"BNA Studios, LLC","S2 Games, LLC"
1691,Skara - The Blade Remains,"Feb 3, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),8-Bit Studio,8-Bit Studio
1971,龙魂时刻,"Jun 27, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NA,NA
1977,Twin Saga,"Sep 1, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),X-Legend,Aeria Games
2034,Absoloot,"Mar 15, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Latinas Tomatos,Dagestan Technology
2075,Trump Simulator 2017,"Feb 1, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Brimo Studio, Sacred Walrus","Brimo Studio, Sacred Walrus"
2261,Cosmic Pioneer,"Jun 7, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Amaterasu Software,Amaterasu Software
2313,Foxhole,"Jul 27, 2017",19.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Clapfoot,Clapfoot
2316,Comedy Night,"Aug 24, 2017",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Lighthouse Games Studio,Lighthouse Games Studio
2321,Halo Wars: Definitive Edition,"Apr 20, 2017",19.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Ensemble Studios, Behaviour Interactive, 343 Industries",Xbox Game Studios
2329,Tanki Online,"Mar 2, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Tanki Online Ltd.,APL Publishing Ltd.
2481,Dragonia,"May 29, 2017",1.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Blue Studio,Paradise Project
2484,Confess My Love,"May 27, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),LR Studio,LR Studio
2496,Vikings - Wolves of Midgard,"Mar 24, 2017",29.99,N/A (N/A),"200,000 .. 500,000",02:05 (00:41),Games Farm,Kalypso Media Digital
2500,Midas Gold Plus,"Feb 1, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Holyday Studios,Holyday Studios
2510,Dear Esther: Landmark Edition,"Feb 14, 2017",9.99,N/A (N/A),"200,000 .. 500,000",00:49 (00:16),"The Chinese Room, Robert Briscoe",Curve Digital
2513,Warfare Online,"May 8, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Con Artist Games,Con Artist Games
2527,Trophy Fishing 2,"Jul 13, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Overgroup,Overgroup
2590,"Creature Clicker - Capture, Train, Ascend!","Apr 28, 2017",1.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ColloseusX,Phat Phrog Studios
2598,Laraan,"Jan 11, 2017",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Flynn's Arcade,Flynn's Arcade
2604,The Pasture,"Jan 17, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Mikhail Maksimov,Sometimes You
2758,Superflight,"Nov 8, 2017",2.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),GrizzlyGames,GrizzlyGames
2779,Call of War,"Oct 21, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Bytro Labs GmbH,Bytro Labs GmbH
2812,Games of Glory,"Apr 25, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Lightbulb Crew,"Lightbulb Crew, LBC Games"
2815,VITATIO 2,"Apr 11, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ColloseusX,Phat Phrog Studios
3170,28 Waves Later,"Mar 15, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Dagestan Technology,Dagestan Technology
3422,Guild Quest,"Jan 26, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Hyper Hippo Games,Hyper Hippo Games
3595,Material Girl,"Jun 20, 2017",1.99,N/A (N/A),"200,000 .. 500,000",06:44 (02:14),Dieselmine,Paradise Project
3597,Road Redemption,"Oct 4, 2017",7.99,N/A (N/A),"200,000 .. 500,000",01:18 (00:52),"EQ-Games , Pixel Dash Studios",Tripwire Interactive
3599,Pavlov VR,"Feb 27, 2017",9.99,N/A (N/A),"200,000 .. 500,000",17:53 (05:57),davevillz,davevillz
3630,Kreedz Climbing,"Jun 15, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ObsessionSoft,ObsessionSoft
3951,Hide vs. Seek,"Aug 7, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Brave Little Studios,Brave Little Studios
3971,Cavern Escape Extremely Hard game!!!,"Feb 20, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),White Dog,White Dog
3991,Nuclear Contingency,"Jan 2, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Amaterasu Software,Amaterasu Software
3999,Magazine Editor,"Feb 24, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:31 (00:10),NA,NA
4110,Project:surviving,"May 1, 2017",0.49,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NedoStudio,NedoStudio
4135,H.I.S.T.O.R.Y T.O.R.C.H.K.A,"May 29, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Legalase studio,!Lim studio
4155,Warfront Defenders: Westerplatte,"Aug 7, 2017",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Flying Robot Studios,New Reality Games
4237,Ravenfield,"May 18, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:02 (00:00),SteelRaven7,SteelRaven7
4239,NEKOPARA Vol. 3,"May 25, 2017",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NEKO WORKs,Sekai Project
4243,Dark and Light,"Jul 20, 2017",17.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Snail Games USA,Snail Games USA
4251,20XX,"Aug 16, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Batterystaple Games, Fire Hose Games",Batterystaple Games
4401,Resurgence,"Sep 12, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Lightning Man Media,Lightning Man Media
4473,OLDTV,"Jul 15, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Creability,Creability
4475,GORN,"Jul 10, 2017",19.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Free Lives,Devolver Digital
4485,Long Live Santa!,"Dec 19, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Doborog Games,Doborog Games
4493,PickCrafter,"Dec 14, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:20 (00:06),Fiveamp,Fiveamp
4504,Tank Force,"Oct 23, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Extreme Developers,Extreme Developers
4508,Dropzone,"Feb 15, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Sparkypants Studios LLC,Sparkypants Studios LLC
4536,Soccer Manager 2018,"Dec 22, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Soccer Manager Ltd,Soccer Manager Ltd
4588,Cat or Bread?,"May 8, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Casioqu,Casioqu
4624,One Eyed Kutkh,"Mar 30, 2017",2.99,N/A (N/A),"200,000 .. 500,000",00:05 (00:01),Baba Yaga Games,Baba Yaga Games
4714,DEEP SPACE WAIFU,"May 31, 2017",2.09,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Neko Climax Studios,Neko Climax Studios
4719,House Party,"Jun 30, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Eek! Games, LLC","Eek! Games, LLC"
4723,Castle Story,"Aug 17, 2017",24.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Sauropod Studio,Sauropod Studio
4733,Polygoneer,"Aug 24, 2017",0.49,N/A (N/A),"200,000 .. 500,000",01:21 (01:58),NukGames,NukGames
4744,FURIDASHI: Drift Cyber Sport,"Nov 2, 2017",9.44,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Drift Physics Crew,Drift Physics Crew
4750,Suicide Guy,"Jul 14, 2017",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Fabio Ferrara,Chubby Pixel
4753,Catan Universe,"Apr 25, 2017",Free,N/A (N/A),"200,000 .. 500,000",05:52 (01:57),Exozet,United Soft Media
4766,Battle Islands: Commanders,"Feb 14, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),DR Studios,505 Games
4787,Demise of Nations,"Aug 8, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Noble Master LLC,Noble Master LLC
5078,Fluffy Creatures VS The World,"Apr 9, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:31 (00:10),Amaterasu Software,Amaterasu Software
5097,Western FPS,"Mar 13, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Narayan Games,Dark Light Studio
5285,OneScreen Wagons,"Oct 27, 2017",0.49,N/A (N/A),"200,000 .. 500,000",00:32 (00:10),Anti-Ded GameDev,Anti-Ded GameDev
5339,MudRunner,"Oct 30, 2017",24.99,N/A (N/A),"200,000 .. 500,000",12:04 (08:02),Saber Interactive,Focus Home Interactive
5342,Ballistic Overkill,"Mar 28, 2017",11.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Aquiris Game Studio,Aquiris Game Studio
5345,Gold Rush: The Game,"Oct 13, 2017",19.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Code Horizon,"Code Horizon, PlayWay S.A."
5347,Ultimate Epic Battle Simulator,"Jun 1, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Brilliant Game Studios,Brilliant Game Studios
5359,Just Cause 3: Multiplayer Mod,"Jul 20, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),nanos GbR,"nanos GbR, Square Enix"
5366,Pixel Worlds: MMO Sandbox,"Jun 8, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Kukouri Mobile Entertainment,Kukouri Mobile Entertainment
5376,Armored Warfare,"Nov 17, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Obsidian Entertainment, MY.GAMES",MY.GAMES
5382,Just Fishing,"Dec 15, 2017",Free,N/A (N/A),"200,000 .. 500,000",03:05 (01:01),Just Fishing LLC,Just Fishing LLC
5714,South Park: The Fractured But Whole,"Oct 16, 2017",59.99,N/A (N/A),"200,000 .. 500,000",03:44 (01:46),Ubisoft San Francisco,Ubisoft
5747,The Heiress,"Aug 11, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ONEONE1,Paradise Project
5759,神舞幻想 Faith of Danschant,"Dec 21, 2017",29.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),北京九鳳信息科技有限公司,北京网元圣唐娱乐科技有限公司
5843,The Ranger: Lost Tribe,"Aug 1, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Leiting Interactive,Leiting Interactive
5905,Shadows 2: Perfidia,"Mar 24, 2017",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),MrCiastku,IceTorch Interactive
5956,The Last Hope: Trump vs Mafia - North Korea,"Jan 20, 2017",0.49,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
5958,My Super Tower 2,"Jan 27, 2017",0.49,N/A (N/A),"200,000 .. 500,000",10:38 (03:32),Mortis Games,Rock Path Collective
6001,Bootombaa,"Mar 8, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Naarassusi Game,cada
6153,Crawl,"Apr 11, 2017",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Powerhoof,Powerhoof
6157,Soundpad,"Sep 30, 2017",4.99,N/A (N/A),"200,000 .. 500,000",11:44 (17:06),Leppsoft,Leppsoft
6159,家有大貓 Nekojishi,"Nov 12, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Team Nekojishi,Orange Juice Dog
6163,Startup Company,"Aug 11, 2017",9.99,N/A (N/A),"200,000 .. 500,000",01:49 (01:12),Hovgaard Games,Hovgaard Games
6167,ULTIMATE MARVEL VS. CAPCOM 3,"Mar 6, 2017",24.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"CAPCOM CO., LTD.","CAPCOM U.S.A., INC."
6173,Metal Waltz: Anime tank girls,"Apr 19, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Shanghai JingCai Computer Software Development Co., Ltd","Shanghai JingCai Computer Software Development Co., Ltd"
6174,Animation Throwdown: The Quest for Cards,"May 5, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),"Synapse Games, Chinzilla",Kongregate
6176,Bit Heroes,"Dec 13, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Juppiomenz,Kongregate
6177,Galactic Junk League,"Jul 26, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Pixel Federation,Pixel Federation
6182,Grimoire: Manastorm,"Oct 26, 2017",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Omniconnection,Omniconnection
6201,Dungetris,"Jan 25, 2017",3.99,N/A (N/A),"200,000 .. 500,000",00:08 (00:02),EfimovMax,EfimovMax
6220,State of Anarchy: Master of Mayhem,"Mar 31, 2017",0.89,N/A (N/A),"200,000 .. 500,000",00:31 (00:20),Lapovich Team,Lapovich Team
6603,The Spirit Underneath,"Jan 2, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Acuze Interactives,Displacement Studios
6625,Magic Lantern,"Jan 29, 2017",N/A,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Parovoz Animation Studio,Interactive Moolt
6736,Deadly Animal Duel,"Sep 12, 2017",0.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Night Animals,New Reality Games
23,Out of the Park Baseball 18,"Mar 24, 2017",19.99,N/A (N/A/86%),"100,000 .. 200,000",00:00 (00:00),Out of the Park Developments,Out of the Park Developments
27,Paradigm,"Apr 5, 2017",14.99,N/A (N/A/85%),"100,000 .. 200,000",00:00 (00:00),Jacob Janerka,Jacob Janerka
29,SteamWorld Dig 2,"Sep 22, 2017",19.99,N/A (N/A/85%),"100,000 .. 200,000",00:00 (00:00),Image & Form Games,Image & Form Games
39,The End Is Nigh,"Jul 12, 2017",14.99,N/A (N/A/84%),"100,000 .. 200,000",00:00 (00:00),"Edmund McMillen, Tyler Glaiel","Edmund McMillen, Tyler Glaiel"
40,Rakuen,"May 10, 2017",9.99,N/A (N/A/84%),"100,000 .. 200,000",00:00 (00:00),Laura Shigihara,Laura Shigihara
41,Gorogoa,"Dec 14, 2017",14.99,N/A (N/A/84%),"100,000 .. 200,000",01:36 (00:48),Buried Signal,Annapurna Interactive
47,The Sexy Brutale,"Apr 11, 2017",19.99,N/A (N/A/83%),"100,000 .. 200,000",00:00 (00:00),"Cavalier Game Studios, Tequila Works",Tequila Works
64,Emily is Away Too,"May 26, 2017",4.99,N/A (N/A/81%),"100,000 .. 200,000",00:00 (00:00),Kyle Seeley,Kyle Seeley
77,The Legend of Heroes: Trails of Cold Steel,"Aug 2, 2017",39.99,N/A (N/A/80%),"100,000 .. 200,000",00:00 (00:00),Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
79,Danganronpa V3: Killing Harmony,"Sep 25, 2017",39.99,N/A (N/A/80%),"100,000 .. 200,000",00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
84,LEGO City Undercover,"Apr 4, 2017",19.99,N/A (N/A/80%),"100,000 .. 200,000",00:00 (00:00),Traveller's Tales,TT Games
114,Marvel's Guardians of the Galaxy: The Telltale Series,"Apr 18, 2017",N/A,N/A (N/A/78%),"100,000 .. 200,000",00:00 (00:00),Telltale Games,Telltale Games
122,Everything,"Apr 21, 2017",14.99,N/A (N/A/78%),"100,000 .. 200,000",00:00 (00:00),David OReilly,"David OReilly, Double Fine Presents"
124,Full Throttle Remastered,"Apr 18, 2017",14.99,N/A (N/A/77%),"100,000 .. 200,000",00:00 (00:00),"Double Fine Productions, Shiny Shoe",Double Fine Productions
136,Bulletstorm: Full Clip Edition,"Apr 7, 2017",39.99,N/A (N/A/76%),"100,000 .. 200,000",07:49 (03:54),People Can Fly,Gearbox Publishing
139,Hob,"Sep 26, 2017",19.99,N/A (N/A/76%),"100,000 .. 200,000",00:10 (00:05),Runic Games,Runic Games
140,Tacoma,"Aug 1, 2017",19.99,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Fullbright,Fullbright
146,Old Man's Journey,"May 17, 2017",7.99,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Broken Rules,Broken Rules
153,Last Day of June,"Aug 31, 2017",19.99,N/A (N/A/75%),"100,000 .. 200,000",00:00 (00:00),Ovosonico,505 Games
165,Rick and Morty: Virtual Rick-ality,"Apr 20, 2017",29.99,N/A (N/A/75%),"100,000 .. 200,000",00:00 (00:00),Owlchemy Labs,Adult Swim Games
174,Expeditions: Viking,"Apr 27, 2017",29.99,N/A (N/A/74%),"100,000 .. 200,000",00:00 (00:00),Logic Artists,THQ Nordic
178,Sundered: Eldritch Edition,"Jul 28, 2017",19.99,N/A (N/A/74%),"100,000 .. 200,000",00:00 (00:00),Thunder Lotus Games,Thunder Lotus Games
185,Kona,"Mar 17, 2017",14.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),Parabole,"Parabole, Ravenscourt"
190,Starpoint Gemini Warlords,"May 23, 2017",34.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),Little Green Men Games,Iceberg Interactive
207,Black The Fall,"Jul 11, 2017",14.99,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Sand Sailor Studio,Square Enix
212,Beat Cop,"Mar 30, 2017",14.99,N/A (N/A/71%),"100,000 .. 200,000",00:00 (00:00),Pixel Crow,11 bit studios
213,Pinstripe,"Apr 24, 2017",14.99,N/A (N/A/71%),"100,000 .. 200,000",00:00 (00:00),Thomas Brush,Armor Games Studios
214,SENRAN KAGURA ESTIVAL VERSUS,"Mar 17, 2017",29.99,N/A (N/A/71%),"100,000 .. 200,000",00:00 (00:00),Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous"
219,Snake Pass,"Mar 28, 2017",19.99,N/A (N/A/71%),"100,000 .. 200,000",00:00 (00:00),Sumo Digital,Curve Digital
227,Immortal Redneck,"Apr 25, 2017",19.95,N/A (N/A/70%),"100,000 .. 200,000",00:00 (00:00),Crema,Crema
232,Yonder: The Cloud Catcher Chronicles,"Jul 17, 2017",24.99,N/A (N/A/70%),"100,000 .. 200,000",00:00 (00:00),Prideful Sloth,Prideful Sloth
236,Sudden Strike 4,"Aug 11, 2017",29.99,N/A (N/A/70%),"100,000 .. 200,000",00:03 (00:01),Kite Games,Kalypso Media Digital
238,.hack//G.U. Last Recode,"Nov 3, 2017",49.99,N/A (N/A/69%),"100,000 .. 200,000",00:03 (00:01),CyberConnect2,BANDAI NAMCO Entertainment
239,DOOM VFR,"Nov 30, 2017",29.99,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),id Software,Bethesda Softworks
246,Tannenberg,"Nov 16, 2017",19.99,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),"M2H, Blackmill Games",M2H
254,Agents of Mayhem,"Aug 15, 2017",29.99,N/A (N/A/68%),"100,000 .. 200,000",00:00 (00:00),Deep Silver Volition,Deep Silver
256,The Long Journey Home,"May 30, 2017",7.49,N/A (N/A/68%),"100,000 .. 200,000",00:33 (00:33),Daedalic Studio West,Daedalic Entertainment
266,Scanner Sombre,"Apr 26, 2017",5.99,N/A (N/A/67%),"100,000 .. 200,000",00:00 (00:00),Introversion Software,Introversion Software
269,Rain World,"Mar 28, 2017",19.99,N/A (N/A/66%),"100,000 .. 200,000",00:00 (00:00),Videocult,Adult Swim Games
302,Urban Empire,"Jan 20, 2017",29.99,N/A (N/A/62%),"100,000 .. 200,000",00:00 (00:00),Reborn Games,Kalypso Media Digital
323,Sonic Forces,"Nov 7, 2017",39.99,N/A (N/A/56%),"100,000 .. 200,000",00:00 (00:00),"Sonic Team, Hardlight",SEGA
336,FlatOut 4: Total Insanity,"Apr 4, 2017",5.99,N/A (N/A/52%),"100,000 .. 200,000",00:00 (00:00),Kylotonn,Strategy First
338,Syberia 3,"Nov 13, 2017",29.99,N/A (N/A/51%),"100,000 .. 200,000",00:00 (00:00),Microids,Microids
349,Husk,"Feb 3, 2017",19.99,N/A (N/A/44%),"100,000 .. 200,000",00:00 (00:00),UndeadScout,IMGN.PRO
350,NeverEnd,"Feb 16, 2017",1.99,N/A (N/A/44%),"100,000 .. 200,000",00:00 (00:00),Duck,Sometimes You
352,Hello Neighbor,"Dec 8, 2017",29.99,N/A (N/A/38%),"100,000 .. 200,000",02:58 (01:29),Dynamic Pixels,tinyBuild
453,Ylands,"Dec 6, 2017",15,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Bohemia Interactive,Bohemia Interactive
455,Space Pirates And Zombies 2,"Nov 7, 2017",19.99,N/A (N/A),"100,000 .. 200,000",26:29 (08:49),MinMax Games Ltd.,MinMax Games Ltd.
463,Hover,"May 31, 2017",19.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"Midgar Studio, Fusty Game",Dear Villagers
466,Tales from Candlekeep: Tomb of Annihilation,"Oct 11, 2017",15.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),BKOM Studios,BKOM Studios
478,Tap Adventure: Time Travel,"Mar 3, 2017",Free,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Avallon Alliance,Panoramik inc
